"response.docs.web_url","response.docs.snippet","response.docs.lead_paragraph","response.docs.source","response.docs.pub_date","response.docs.news_desk","response.docs.section_name","response.docs.subsectoinName","response.docs.type_of_material","response.docs.word_count","response.docs.score","response.docs.byline.organization","response.docs.headline.kicker","response.docs.headline.content_kicker","response.docs.headline.seo","response.docs.headline.sub","response.docs.byline.original","response.docs.byline.organization.1","response.meta.hits","response.meta.offset"
"https://www.nytimes.com/2018/09/18/world/asia/moon-jae-in-pyongyang-kim-jong-un-summit.html","The promised trip would be the first ever by a North Korean leader. Mr. Kim also promised to dismantle missile facilities in the presence of outside inspectors.","The promised trip would be the first ever by a North Korean leader. Mr. Kim also promised to dismantle missile facilities in the presence of outside inspectors.","The New York Times","2018-09-18T07:50:14+0000","Foreign","World","Asia Pacific","News",1211,0,NA,NA,NA,NA,NA,"By CHOE SANG-HUN",NA,268,10
"https://www.nytimes.com/2018/06/18/business/dealbook/yale-ceo-att.html","A survey at the Yale C.E.O. Summit showed what many corporate chieftains took away from the Trump-Kim talks, the AT&T ruling, and more.","A survey at the Yale C.E.O. Summit showed what many corporate chieftains took away from the Trump-Kim talks, the AT&T ruling, and more.","The New York Times","2018-06-18T10:23:55+0000","Business","Business Day","DealBook","News",426,0,NA,NA,NA,NA,NA,NA,NA,268,10
"https://www.nytimes.com/2018/06/13/opinion/trump-kim-korea-summit.html","What did the Singapore summit accomplish, and did one side come out ahead?","What did the Singapore summit accomplish, and did one side come out ahead?","The New York Times","2018-06-13T19:50:19+0000","Letters","Opinion",NA,"Letter",574,0,NA,"Letters","Letters",NA,NA,NA,NA,268,10
"https://www.nytimes.com/2018/06/12/opinion/trump-kim-korea-summit.html","Readers offer mixed assessments: skepticism about the promises made, disgust at embracing a “ruthless tyrant,” and hope.","Readers offer mixed assessments: skepticism about the promises made, disgust at embracing a “ruthless tyrant,” and hope.","The New York Times","2018-06-12T17:12:40+0000","Letters","Opinion",NA,"Letter",584,0,NA,"Letters","Letters",NA,NA,NA,NA,268,10
"https://www.nytimes.com/2018/09/19/world/asia/north-south-korea-nuclear-weapons.html","Kim Jong-un agreed to “permanently dismantle” key facilities in a bid to ease tensions with South Korea, but his offers stop short of denuclearization.","Kim Jong-un agreed to “permanently dismantle” key facilities in a bid to ease tensions with South Korea, but his offers stop short of denuclearization.","The New York Times","2018-09-19T11:35:23+0000","Foreign","World","Asia Pacific","News",1581,0,NA,NA,NA,NA,NA,"By CHOE SANG-HUN and DAVID E. SANGER",NA,268,10
"https://www.nytimes.com/2018/06/11/world/asia/photos-trump-kim-summit.html","Images related to the historic talks between the U.S. and North Korea.","Images related to the historic talks between the U.S. and North Korea.","The New York Times","2018-06-11T23:04:54+0000","Foreign","World","Asia Pacific","News",75,0,NA,NA,NA,NA,NA,NA,NA,268,10
"https://www.nytimes.com/2018/06/12/opinion/trump-kim-north-korea-summit.html","Don’t scoff. The Singapore summit is a first step toward peace.","Don’t scoff. The Singapore summit is a first step toward peace.","The New York Times","2018-06-12T14:02:39+0000","OpEd","Opinion",NA,"Op-Ed",804,0,NA,NA,NA,NA,NA,"By VICTOR CHA",NA,268,20
"https://www.nytimes.com/2018/06/03/world/asia/trump-kim-summit-singapore.html","The June 12 summit meeting between President Trump and Kim Jong-un requires figuring out countless details, all of which could be ignored last minute by two leaders known for changing their minds.","The June 12 summit meeting between President Trump and Kim Jong-un requires figuring out countless details, all of which could be ignored last minute by two leaders known for changing their minds.","The New York Times","2018-06-03T17:08:58+0000","Foreign","World","Asia Pacific","News",1290,0,NA,NA,NA,NA,NA,"By MOTOKO RICH",NA,268,20
"https://www.nytimes.com/2018/06/09/us/politics/trump-north-korea.html","In some ways, President Trump, who came of age during the Cuban Missile Crisis and has long given thought to North Korea, has been preparing for this encounter his entire adult life.","In some ways, President Trump, who came of age during the Cuban Missile Crisis and has long given thought to North Korea, has been preparing for this encounter his entire adult life.","The New York Times","2018-06-09T15:19:05+0000","Washington","U.S.","Politics","News",1523,0,NA,NA,NA,NA,NA,"By MARK LANDLER",NA,268,20
"https://www.nytimes.com/2018/06/15/opinion/trump-kim-north-korea-dictator.html","The evidence is overwhelming that Trump can’t resist a dictator. Democratic leaders are weak because they can’t execute opponents with antiaircraft guns.","The evidence is overwhelming that Trump can’t resist a dictator. Democratic leaders are weak because they can’t execute opponents with antiaircraft guns.","The New York Times","2018-06-15T09:51:04+0000","OpEd","Opinion",NA,"Op-Ed",848,0,NA,"Op-Ed Columnist","Op-Ed Columnist",NA,NA,"By ROGER COHEN",NA,268,20
"https://www.nytimes.com/2018/06/15/us/politics/trump-kim-jong-un-credibility.html","The president said he was joking, however, when he said he wanted Americans to “sit up at attention” as North Koreans do for Mr. Kim.","The president said he was joking, however, when he said he wanted Americans to “sit up at attention” as North Koreans do for Mr. Kim.","The New York Times","2018-06-15T14:40:12+0000","Washington","U.S.","Politics","News",708,0,NA,NA,NA,NA,NA,"By EILEEN SULLIVAN",NA,268,20
"https://www.nytimes.com/2018/08/24/us/politics/pompeo-north-korea-trip.html","President Trump said he did not think the country was making sufficient progress on denuclearization.","President Trump said he did not think the country was making sufficient progress on denuclearization.","The New York Times","2018-08-24T17:47:54+0000","Washington","U.S.","Politics","News",1309,0,NA,NA,NA,NA,NA,"By MARK LANDLER and GARDINER HARRIS",NA,268,20
"https://www.nytimes.com/2018/07/31/us/politics/north-korea-missiles.html","North Korea is building ICBMs at a facility outside Pyongyang, a sign that the country is continuing its weapons programs despite U.S. diplomacy.","North Korea is building ICBMs at a facility outside Pyongyang, a sign that the country is continuing its weapons programs despite U.S. diplomacy.","The New York Times","2018-07-31T22:24:07+0000","Washington","U.S.","Politics","News",1169,0,NA,NA,NA,NA,NA,"By JULIAN E. BARNES and ERIC SCHMITT",NA,268,20
"https://www.nytimes.com/2018/09/05/world/asia/south-korea-north.html","An adviser to President Moon Jae-in met with Kim Jong-un, the North’s leader, to jump-start the stalled diplomacy over nuclear disarmament.","An adviser to President Moon Jae-in met with Kim Jong-un, the North’s leader, to jump-start the stalled diplomacy over nuclear disarmament.","The New York Times","2018-09-05T04:31:28+0000","Foreign","World","Asia Pacific","News",675,0,NA,NA,NA,NA,NA,"By CHOE SANG-HUN",NA,268,20
"https://www.nytimes.com/2018/06/01/world/asia/trump-north-korea-economic-aid.html","North Korea might not be tempted by promises of economic assistance, fearing dependence on aid from Washington — or anyone else.","North Korea might not be tempted by promises of economic assistance, fearing dependence on aid from Washington — or anyone else.","The New York Times","2018-06-01T12:39:16+0000","Foreign","World","Asia Pacific","News",1291,0,NA,NA,NA,NA,NA,"By MOTOKO RICH",NA,268,20
